Date,Min Price,Max Price,Price
2022-03-19,149.89687162298728,150.59264371226539,150.24475766762635
2022-03-20,150.27495898317136,150.45625535599953,150.36560716958545
2022-03-21,150.69890803930036,150.48498371174918,150.59194587552477
2022-03-22,151.16057632077917,150.66602399432264,150.9133001575509
2022-03-23,151.65182135701275,150.98657141852797,151.31919638777038
2022-03-24,152.16450067740607,151.4338211991735,151.7991609382898
2022-03-25,152.69047181136395,151.9949685510674,152.34272018121567
2022-03-26,153.22159228829145,152.6572086890178,152.93940048865463
2022-03-27,153.74971963759344,153.407736827833,153.57872823271322
2022-03-28,154.26671138867488,154.2337481823211,154.250229785498
2022-03-29,154.76442507094063,155.12243796729047,154.94343151911556
2022-03-30,155.23471821379576,156.06100139754912,155.64785980567245
2022-03-31,155.66944834664503,157.03663368790532,156.3530410172752
2022-04-01,156.0604729988935,158.03653005316733,157.0485015260304
2022-04-02,156.3996496999461,159.04788570814333,157.72376770404472
2022-04-03,156.67883597920775,160.05789586764143,158.3683659234246
2022-04-04,156.88988936608337,161.05375574646996,158.97182255627666
2022-04-05,157.0246673899778,162.02266055943707,159.52366397470743
2022-04-06,157.07502758029614,162.9518055213509,160.01341655082354
2022-04-07,157.03282746644322,163.82838584701977,160.4306066567315
2022-04-08,156.889924577824,164.63959675125182,160.7647606645379
2022-04-09,156.6381764438434,165.37263344885523,161.0054049463493
2022-04-10,156.26944059390638,166.01469115463823,161.1420658742723
2022-04-11,155.77557455741788,166.55296508340902,161.16426982041344
2022-04-12,155.0,165.0,160.0
2022-04-13,155.0,170.0,162.5
2022-04-14,153.4617706226926,167.37494674720278,160.4183586849477
2022-04-15,152.38595913404743,167.07541045631575,159.7306847951816
2022-04-16,150.0,165.0,157.5
2022-04-17,149.78551053908794,164.33061981683585,157.0580651779619
2022-04-18,148.58565532062238,162.18432096280733,155.38498814171487
2022-04-19,147.8776638089226,160.22839252896415,154.05302816894337
2022-04-20,150.0,160.0,155.0
2022-04-21,149.2689693395956,159.14483864551312,154.20690399255437
2022-04-22,150.0,160.0,155.0
2022-04-23,156.14159275883992,165.06723626057016,160.60441450970504
2022-04-24,160.0,170.0,165.0
2022-04-25,160.334425952021,170.5194500075015,165.42693797976125
2022-04-26,160.0,170.0,165.0
2022-04-27,158.98728989528044,170.85495798909943,164.92112394218992
2022-04-28,158.58037039084704,170.86924084364242,164.72480561724473
2022-04-29,158.4010339168813,170.8550843884227,164.62805915265199
2022-04-30,158.4102009386447,170.81109828696108,164.6106496128029
2022-05-01,158.5687919213986,170.73589220277805,164.65234206208834
2022-05-02,158.83772733040453,170.62807579939428,164.7329015648994
2022-05-03,159.17792763092385,170.48625874033033,164.8320931856271
2022-05-04,159.55031328821798,170.30905068910687,164.92968198866242
2022-05-05,159.91580476754834,170.09506130924444,165.0054330383964
2022-05-06,160.0,170.0,165.0
2022-05-07,160.46978705336346,169.55117721768517,165.0104821355243
2022-05-08,160.5801187903711,169.21850183302956,164.89931031170033
2022-05-09,160.5272382104607,168.84348377381744,164.68536099213907
2022-05-10,160.27206577889362,168.42473270356942,164.3483992412315
2022-05-11,159.77552196093134,167.96085828580613,163.86819012336872
2022-05-12,158.99852722183527,167.45047018404804,163.22449870294167
2022-05-13,157.90200202686682,166.8921780618159,162.39709004434138
2022-05-14,156.44686684128743,166.28459158263036,161.3657292119589
2022-05-15,154.59404213035856,165.62632041001186,160.1101812701852
2022-05-16,152.3044483593415,164.91597420748116,158.61021128341133
2022-05-17,150.0,165.0,157.5
2022-05-18,146.36460316682144,163.33349536676528,154.84904926679337
2022-05-19,143.27199868823635,162.45858205562138,152.86529037192886
2022-05-20,140.0,160.0,150.0
2022-05-21,139.56377998839758,160.56179896304118,150.0627894757194
2022-05-22,140.0,160.0,150.0
2022-05-23,139.4607049735796,159.10692251721633,149.28381374539796
2022-05-24,139.98149359024904,158.941614728156,149.46155415920254
2022-05-25,140.0,160.0,150.0
2022-05-26,140.55550262807554,160.34965324157238,150.45257793482398
2022-05-27,140.31925620441365,161.05466537083402,150.68696078762383
2022-05-28,140.0,160.0,150.0
2022-05-29,138.96514769151435,157.89714371695726,148.4311457042358
2022-05-30,137.93862732815322,154.29180093063724,146.1152141293952
2022-05-31,136.74002404410194,150.92414975474563,143.83208689942379
2022-06-01,135.0,150.0,142.5
2022-06-02,135.0,150.0,142.5
2022-06-03,135.0,150.0,142.5
2022-06-04,139.64673910586777,155.3928792783882,147.51980919212798
2022-06-05,145.0,160.0,152.5
2022-06-06,148.66577044314957,160.81190503297447,154.73883773806202
2022-06-07,150.64795369078666,162.14041404885592,156.3941838698213
2022-06-08,151.3318738337843,162.7168873623878,157.02438059808605
2022-06-09,151.15850258109887,162.71585528115438,156.93717893112662
2022-06-10,150.56881164168678,162.31184811273997,156.44032987721337
2022-06-11,150.0,160.0,155.0
2022-06-12,149.80049189035893,160.96626483400456,155.38337836218176
2022-06-13,149.88061260745658,160.213159874646,155.0468862410513
2022-06-14,150.06191269585477,159.43402213003125,154.747967412943
2022-06-15,150.16216997561062,158.6427924435383,154.40248120957446
2022-06-16,150.0,160.0,155.0
2022-06-17,149.43186662244855,157.07772302152748,153.254794821988
2022-06-18,148.48405702779203,156.31917939134792,152.40161820956996
2022-06-19,147.22070670101633,155.57913602996695,151.39992136549165
2022-06-20,145.7067888603258,154.8589481993448,150.2828685298353
2022-06-21,144.00727672392486,154.159971161442,149.08362394268343
2022-06-22,142.18714351001793,153.48356017821862,147.8353518441183
2022-06-23,140.31136243680942,152.83107051163506,146.57121647422224
2022-06-24,138.4449067225038,152.20385742365158,145.3243820730777
2022-06-25,136.65274958530543,151.60327617622855,144.128012880767
2022-06-26,135.0,150.0,142.5
2022-06-27,133.5391287255611,150.48743025090485,142.01327948823297
2022-06-28,132.2750403025019,149.9748760969248,141.12495819971335
2022-06-29,131.20000105552342,149.4943748313463,140.34718794343485
2022-06-30,130.30641306590795,149.04728171612973,139.67684739101884
2022-07-01,129.5866784149378,148.63495201323536,139.11081521408659
2022-07-02,129.03319918389525,148.25874098462347,138.64597008425937
2022-07-03,128.63837745406266,147.92000389225436,138.2791906731585
2022-07-04,128.39461530672236,147.62009599808835,138.00735565240535
2022-07-05,128.29431482315655,147.36037256408574,137.82734369362115
2022-07-06,128.3298780846477,147.1421888522068,137.73603346842725
2022-07-07,128.49370717247794,146.9669001244119,137.73030364844493
2022-07-08,128.77820416792963,146.83586164266123,137.80703290529544
2022-07-09,129.17577115228517,146.75042866891516,137.96309991060016
2022-07-10,129.6788102068268,146.711956465134,138.1953833359804
2022-07-11,130.27972341283677,146.72180029327794,138.50076185305736
2022-07-12,130.9709128515975,146.7813154153074,138.87611413345246
2022-07-13,131.74478060439122,146.89185709318267,139.31831884878693
2022-07-14,132.59372875250025,147.054780588864,139.82425467068214
2022-07-15,133.5101593772069,147.27144116431168,140.39080027075929
2022-07-16,134.4864745597935,147.5431940814861,141.0148343206398
2022-07-17,135.5150763815423,147.87139460234744,141.69323549194485
2022-07-18,136.5883669237357,148.25739798885604,142.42288245629587
2022-07-19,137.6987482676559,148.70255950297226,143.20065388531407
2022-07-20,138.8386224945853,149.20823440665632,144.02342845062083
2022-07-21,140.0,150.0,145.0
2022-07-22,141.17742618155313,150.40582307224676,145.79162462689993
2022-07-23,142.3669693578704,151.09611320813843,146.73154128300442
2022-07-24,143.56723284975453,151.84366948156864,147.7054511656616
2022-07-25,144.776428292202,152.64551300456247,148.71097064838224
2022-07-26,145.99276732020937,153.49866488914492,149.74571610467714
2022-07-27,147.2144615687731,154.40014624734104,150.80730390805707
2022-07-28,148.43972267288976,155.3469781911759,151.89335043203283
2022-07-29,149.66676226755587,156.33618183267447,153.00147205011518
2022-07-30,150.89379198776797,157.36477828386188,154.12928513581494
2022-07-31,152.11902346852253,158.42978865676315,155.27440606264284
2022-08-01,153.34066834481615,159.52823406340326,156.4344512041097
2022-08-02,154.5569382516453,160.65713561580728,157.6070369337263
2022-08-03,155.76604482400654,161.81351442600027,158.7897796250034
2022-08-04,156.96619969689638,162.99439160600727,159.98029565145183
2022-08-05,158.15561450531132,164.19678826785332,161.1762013865823
2022-08-06,159.33250088424793,165.41772552356346,162.3751132039057
2022-08-07,160.49507046870272,166.6542244851627,163.5746474769327
2022-08-08,161.64153489367217,167.90330626467616,164.77242057917417
2022-08-09,162.77010579415284,169.1619919741288,165.96604888414083
2022-08-10,163.87899480514133,170.42730272554567,167.1531487653435
2022-08-11,164.96641356163406,171.69625963095186,168.33133659629294
2022-08-12,166.03057369862756,172.96588380237233,169.49822875049995
2022-08-13,167.0696868511184,174.23319635183222,170.6514416014753
2022-08-14,168.08196465410313,175.49521839135653,171.78859152272983
2022-08-15,169.0656187425782,176.74897103297027,172.90729488777424
2022-08-16,170.01886075154016,177.99147538869852,174.00516807011934
2022-08-17,170.93990231598556,179.21975257056633,175.07982744327595
2022-08-18,171.82695507091086,180.43082369059866,176.12888938075474
2022-08-19,172.67823065131265,181.62170986082063,177.14997025606664
2022-08-20,173.49194069218748,182.78943219325728,178.14068644272237
2022-08-21,174.26629682853184,183.93101179993363,179.09865431423273
2022-08-22,175.0,185.0,180.0
2022-08-23,175.69020179892252,186.12436392338375,180.90728286115313
2022-08-24,176.3386211308059,187.17339849987636,181.75600981534114
2022-08-25,176.945427553833,188.19081447004655,182.56812101193978
2022-08-26,177.51127993084427,189.1768527815881,183.3440663562162
2022-08-27,178.0368371246803,190.13175438219494,184.08429575343763
2022-08-28,178.52275799818153,191.05576021956082,184.7892591088712
2022-08-29,178.96970141418868,191.9491112413796,185.45940632778414
2022-08-30,179.37832623554215,192.81204839534533,186.09518731544375
2022-08-31,179.74929132508248,193.6448126291518,186.69705197711716
2022-09-01,180.0832555456504,194.4476448904927,187.26545021807155
2022-09-02,180.38087776008618,195.22078612706218,187.80083194357417
2022-09-03,180.64281683123056,195.96447728655386,188.3036470588922
2022-09-04,180.86973162192396,196.67895931666175,188.77434546929285
2022-09-05,181.062280995007,197.36447316507963,189.2133770800433
2022-09-06,181.22112381332022,198.0212597795014,189.6211917964108
2022-09-07,181.34691893970415,198.649560107621,189.99823952366256
2022-09-08,181.44032523699929,199.2496150971322,190.34497016706575
2022-09-09,181.5020015680462,199.82166569572883,190.66183363188753
2022-09-10,181.53260679568544,200.36595285110477,190.9492798233951
2022-09-11,181.53279978275756,200.88271751095405,191.2077586468558
2022-09-12,181.50323939210315,201.37220062297035,191.43772000753677
2022-09-13,181.44458448656258,201.83464313484757,191.63961381070507
2022-09-14,181.35749392897654,202.27028599427967,191.8138899616281
2022-09-15,181.24262658218552,202.67937014896037,191.96099836557295
2022-09-16,181.10064130903012,203.0621365465837,192.08138892780693
2022-09-17,180.9321969723508,203.41882613484336,192.17551155359706
2022-09-18,180.7379524349882,203.7496798614333,192.24381614821073
2022-09-19,180.51856655978273,204.05493867404738,192.28675261691507
2022-09-20,180.274698209575,204.33484352037945,192.30477086497723
2022-09-21,180.00700624720557,204.58963534812344,192.2983207976645
2022-09-22,179.71614953551503,204.81955510497315,192.2678523202441
2022-09-23,179.4027869373438,205.0248437386224,192.21381533798308
2022-09-24,179.06757731553245,205.20574219676516,192.1366597561488
2022-09-25,178.7111795329216,205.36249142709522,192.0368354800084
2022-09-26,178.33425245235168,205.49533237730645,191.91479241482907
2022-09-27,177.93745493666336,205.6045059950928,191.7709804658781
2022-09-28,177.52144584869708,205.690253228148,191.60584953842255
2022-09-29,177.0868840512934,205.75281502416595,191.41984953772968
2022-09-30,176.6344284072929,205.79243233084065,191.21343036906677
2022-10-01,176.1647377795361,205.8093460958658,190.98704193770095
2022-10-02,175.67847103086353,205.80379726693536,190.74113414889945
2022-10-03,175.1762870241158,205.77602679174322,190.47615690792952
2022-10-04,174.65884462213336,205.7262756179831,190.19256012005823
2022-10-05,174.12680268775676,205.65478469334894,189.89079369055287
2022-10-06,173.5808200838266,205.5617949655347,189.57130752468066
2022-10-07,173.02155567318337,205.44754738223406,189.23455152770873
2022-10-08,172.44966831866768,205.31228289114108,188.8809756049044
2022-10-09,171.86581688311998,205.1562424399495,188.51102966153474
2022-10-10,171.27066022938084,204.97966697635317,188.12516360286702
2022-10-11,170.66485722029086,204.78279744804607,187.72382733416845
2022-10-12,170.04906671869048,204.56587480272196,187.30747076070622
2022-10-13,169.4239475874204,204.3291399880748,186.8765437877476
2022-10-14,168.790158689321,204.07283395179834,186.4314963205597
2022-10-15,168.1483588872329,203.7971976415865,185.9727782644097
2022-10-16,167.4992070439966,203.50247200513311,185.50083952456487
2022-10-17,166.84336202245268,203.18889799013215,185.01613000629243
2022-10-18,166.18148268544164,202.85671654427736,184.5190996148595
2022-10-19,165.51422789580408,202.50616861526268,184.0101982555334
2022-10-20,164.84225651638056,202.13749515078197,183.48987583358127
2022-10-21,164.16622741001154,201.75093709852902,182.95858225427028
2022-10-22,163.4867994395376,201.34673540619775,182.41676742286768
2022-10-23,162.80463146779923,200.9251310214821,181.86488124464066
2022-10-24,162.12038235763706,200.48636489207576,181.30337362485642
2022-10-25,161.4347109718916,200.0306779656727,180.73269446878214
2022-10-26,160.74827617340333,199.5583111899668,180.15329368168506
2022-10-27,160.0617368250129,199.06950551265186,179.56562116883237
2022-10-28,159.3757517895608,198.56450188142182,178.97012683549133
2022-10-29,158.69097992988753,198.0435412439705,178.36726058692904
2022-10-30,158.0080801088337,197.5068645479918,177.75747232841275
